WarmDate,ClientName,Email,SentCount,TodayVolume,ReplyCount,ReplyPercentage
2024-02-05,DeepCurrent,,11,11,0,50
2024-02-05,Test 3,,11,11,0,50
2024-02-05,mGage,,11,11,0,50
2024-02-05,Giant Propeller,,11,11,0,50
2024-02-05,Pinc,,11,11,0,50
2024-02-05,Harness,,11,11,0,50
2024-02-05,Solv,,11,11,0,50
2024-02-05,Imagine If,,11,11,0,50
2024-02-05,GVM 1,,11,11,0,50
2024-02-05,Follow the Eyes,,11,11,0,50
2024-02-05,GetSocial,,11,11,0,50
2024-02-05,Wizehive,,11,11,0,50
2024-02-05,Ok once more,,11,11,0,50
2024-02-05,INTURN - Buyers,,11,11,0,50
2024-02-05,TEST,,11,11,0,50
2024-02-05,Amanda's Account,,11,11,0,50
2024-02-05,LeadLifter,,11,11,0,50
2024-02-05,Collaborative Strategies,,11,11,0,50
2024-02-05,Handwrytten,,11,11,0,50
2024-02-05,Altezza,,11,11,0,50
2024-02-05,Harness,,11,11,0,50
2024-02-05,Jared Hackbart,,11,11,0,50
2024-02-05,Rakesh,,11,11,0,50
2024-02-05,Empirical Hire,,11,11,0,50
2024-02-05,test client,,11,11,0,50
2024-02-05,InsightInDigital,,11,11,0,50
2024-02-05,TrueUp,,11,11,0,50
2024-02-05,CryptoMove,,11,11,0,50
2024-02-05,test2,,11,11,0,50
2024-02-05,Testing,,11,11,0,50
2024-02-05,TekDoc,,11,11,0,50
2024-02-05,Hone,,11,11,0,50
2024-02-05,nSure.ai,,11,11,0,50
2024-02-05,Evid Science,,11,11,0,50
2024-02-05,ParkHub,,11,11,0,50
2024-02-05,YouGov Signal,,11,11,0,50
2024-02-05,Test group ,,11,11,0,50
2024-02-05,Specifio,,11,11,0,50
2024-02-05,Datumix,,11,11,0,50
2024-02-05,LeaseLock,,11,11,0,50
2024-02-05,Luxoft,,11,11,0,50
2024-02-05,Pledge,,11,11,0,50
2024-02-05,Parting Pro,,11,11,0,50
2024-02-05,Technology Insight,,11,11,0,50
2024-02-05,Uassist.ME,,11,11,0,50
2024-02-05,zvmclient11,,11,11,0,50
2024-02-05,Bento for Business,,11,11,0,50
2024-02-05,Testing B,,11,11,0,50
2024-02-05,Testtt,,11,11,0,50
2024-02-05,TEST,,11,11,0,50
2024-02-05,Tylt,,11,11,0,50
2024-02-05,Pyramid,,11,11,0,50
2024-02-05,CSS,,11,11,0,50
2024-02-05,Newbook Models,,11,11,0,50
2024-02-05,ActiveWater,,11,11,0,50
2024-02-05,Zingle,,11,11,0,50
2024-02-05,Test1,,11,11,0,50
2024-02-05,test2,,11,11,0,50
2024-02-05,Confiant,,11,11,0,50
2024-02-05,Tipalti,,11,11,0,50
2024-02-05,Noms Bake Shop,,11,11,0,50
2024-02-05,Oomnitza,,11,11,0,50
2024-02-05,Test 1,,11,11,0,50
2024-02-05,IdeaScale,,11,11,0,50
2024-02-05,CodeBroker,,11,11,0,50
2024-02-05,GCTI,,11,11,0,50
2024-02-05,Fearless,,11,11,0,50
2024-02-05,Tangoe,,11,11,0,50
2024-02-05,Asentinel,,11,11,0,50
2024-02-05,Lightcrest,,11,11,0,50
2024-02-05,BetterOps,,11,11,0,50
2024-02-05,Tackle.io,,11,11,0,50
2024-02-05,Uptick,,11,11,0,50
2024-02-05,Test 4,,11,11,0,50
2024-02-05,Vennli,,11,11,0,50
2024-02-05,Beatty,,11,11,0,50
2024-02-05,Roots,,11,11,0,50
2024-02-05,Prempoint,,11,11,0,50
2024-02-05,9Nit,,11,11,0,50
2024-02-05,Sample Client,,11,11,0,50
2024-02-05,test3,,11,11,0,50
2024-02-05,Dsco,,11,11,0,50
2024-02-05,PredictionHealth,,11,11,0,50
2024-02-05,ConversionXL,,11,11,0,50
2024-02-05,Neuron,,11,11,0,50
2024-02-05,Mucker,,11,11,0,50
2024-02-05,Zeki,,11,11,0,50
2024-02-05,Snapwire,,11,11,0,50
2024-02-05,test111,,11,11,0,50
2024-02-05,DevSquad,,11,11,0,50
2024-02-05,Service Response,,11,11,0,50
2024-02-05,Spamless,,11,11,0,50
2024-02-05,Intellimize,,11,11,0,50
2024-02-05,Codesushi,,11,11,0,50
2024-02-05,Theory,,11,11,0,50
2024-02-05,Purple Diamond,,11,11,0,50
2024-02-05,Testing E,,11,11,0,50
2024-02-05,ChannelApe,,11,11,0,50
